title,description,price,category,img
Fresh Bananas,Organic ripe bananas from Ecuador,1.29,Fruits,images/bananas.jpg
Red Apples,Crunchy red apples packed with vitamins,2.99,Fruits,images/apples.jpg
Orange Juice,100% pure squeezed orange juice,3.49,Beverages,images/orange_juice.jpg
Whole Wheat Bread,Freshly baked whole wheat bread loaf,2.49,Bakery,images/bread.jpg
Free-range Eggs,Dozen large free-range brown eggs,3.99,Dairy,images/eggs.jpg
Greek Yogurt,Plain unsweetened Greek yogurt,4.59,Dairy,images/yogurt.jpg
Almond Milk,Unsweetened almond milk carton 1L,3.29,Dairy Alternatives,images/almond_milk.jpg
Broccoli Florets,Fresh broccoli florets packed with nutrients,1.99,Vegetables,images/broccoli.jpg
Carrots,Bunch of fresh orange carrots,1.49,Vegetables,images/carrots.jpg
Tomato Sauce,Rich and tangy tomato pasta sauce,2.99,Canned Goods,images/tomato_sauce.jpg
Brown Rice,Organic long grain brown rice 2lb,3.79,Grains,images/brown_rice.jpg
Peanut Butter,Crunchy peanut butter jar 16oz,4.49,Spreads,images/peanut_butter.jpg
Honey,Raw natural honey from wildflowers,6.99,Sweets,images/honey.jpg
Black Beans,Dried organic black beans 1lb,2.99,Legumes,images/black_beans.jpg
Olive Oil,Extra virgin olive oil bottle 500ml,8.99,Oils,images/olive_oil.jpg
White Sugar,Refined granulated white sugar 4lb,2.59,Baking,images/sugar.jpg
Salt,Fine sea salt package 1lb,1.29,Spices,images/salt.jpg
Ground Coffee,Medium roast ground coffee 12oz,7.99,Beverages,images/coffee.jpg
Green Tea,Organic green tea bags pack,4.79,Beverages,images/green_tea.jpg
Frozen Peas,Bag of frozen green peas 16oz,2.29,Frozen,images/frozen_peas.jpg
Chicken Breast,Boneless skinless chicken breast 1lb,6.99,Meat,images/chicken_breast.jpg
Ground Beef,85% lean ground beef 1lb,7.49,Meat,images/ground_beef.jpg
Salmon Fillet,Fresh Atlantic salmon fillet 1lb,12.99,Seafood,images/salmon.jpg
Shrimp,Peeled and deveined shrimp 1lb,14.99,Seafood,images/shrimp.jpg
Cheddar Cheese,Sharp cheddar cheese block 8oz,5.49,Dairy,images/cheddar_cheese.jpg
Mozzarella Cheese,Fresh mozzarella balls 8oz,6.29,Dairy,images/mozzarella.jpg
Cucumber,Fresh organic cucumber,1.19,Vegetables,images/cucumber.jpg
Lettuce,Green leaf lettuce head,1.59,Vegetables,images/lettuce.jpg
Bell Peppers,Trio of red, yellow, and green bell peppers,4.99,Vegetables,images/bell_peppers.jpg
Potatoes,Bag of russet potatoes 5lb,3.99,Vegetables,images/potatoes.jpg
Onions,Yellow onions bag 3lb,2.79,Vegetables,images/onions.jpg
Garlic,Bulb of fresh garlic,0.79,Vegetables,images/garlic.jpg
Pasta,Spaghetti pasta 1lb,1.49,Grains,images/pasta.jpg
Canned Tuna,Tuna in water can 5oz,1.89,Canned Goods,images/tuna.jpg
Tomatoes,Fresh vine tomatoes,3.49,Vegetables,images/tomatoes.jpg
Milk,Whole milk gallon,4.29,Dairy,images/milk.jpg
Butter,Salted butter 1lb,4.99,Dairy,images/butter.jpg
Ice Cream,Vanilla flavored ice cream pint,3.99,Frozen,images/ice_cream.jpg
Chocolate Bar,Dark chocolate bar 70% cacao,2.99,Sweets,images/chocolate_bar.jpg
Cereal,Whole grain cereal box 14oz,4.29,Breakfast,images/cereal.jpg
Oatmeal,Instant oatmeal packets 10 count,3.79,Breakfast,images/oatmeal.jpg
Orange,Juicy navel oranges,3.99,Fruits,images/orange.jpg
Blueberries,Fresh blueberries pint,4.59,Fruits,images/blueberries.jpg
Strawberries,Fresh strawberries pack 1lb,5.49,Fruits,images/strawberries.jpg
Pineapple,Whole fresh pineapple,3.99,Fruits,images/pineapple.jpg
Watermelon,Sweet seedless watermelon,7.99,Fruits,images/watermelon.jpg
Mango,Fresh ripe mango,1.99,Fruits,images/mango.jpg
Avocado,Fresh Hass avocado,2.49,Fruits,images/avocado.jpg
Chickpeas,Dried chickpeas 1lb,2.99,Legumes,images/chickpeas.jpg
Lentils,Dried green lentils 1lb,2.79,Legumes,images/lentils.jpg
