title,description,price,category,img
Fresh Bananas,Organic ripe bananas from Ecuador,1.29,Fruits,downloaded_images/fresh_bananas.jpg
Red Apples,Crunchy red apples packed with vitamins,2.99,Fruits,downloaded_images/red_apples.jpg
Orange Juice,100% pure squeezed orange juice,3.49,Beverages,downloaded_images/orange_juice.jpg
Whole Wheat Bread,Freshly baked whole wheat bread loaf,2.49,Bakery,downloaded_images/whole_wheat_bread.jpg
Free-range Eggs,Dozen large free-range brown eggs,3.99,Dairy,images/eggs.jpg
Greek Yogurt,Plain unsweetened Greek yogurt,4.59,Dairy,downloaded_images/greek_yogurt.jpg
Almond Milk,Unsweetened almond milk carton 1L,3.29,Dairy Alternatives,downloaded_images/almond_milk.jpg
Broccoli Florets,Fresh broccoli florets packed with nutrients,1.99,Vegetables,downloaded_images/broccoli_florets.jpg
Carrots,Bunch of fresh orange carrots,1.49,Vegetables,downloaded_images/carrots.jpg
Tomato Sauce,Rich and tangy tomato pasta sauce,2.99,Canned Goods,downloaded_images/tomato_sauce.jpg
Brown Rice,Organic long grain brown rice 2lb,3.79,Grains,downloaded_images/brown_rice.jpg
Peanut Butter,Crunchy peanut butter jar 16oz,4.49,Spreads,downloaded_images/peanut_butter.jpg
Honey,Raw natural honey from wildflowers,6.99,Sweets,downloaded_images/honey.jpg
Black Beans,Dried organic black beans 1lb,2.99,Legumes,downloaded_images/black_beans.jpg
Olive Oil,Extra virgin olive oil bottle 500ml,8.99,Oils,downloaded_images/olive_oil.jpg
White Sugar,Refined granulated white sugar 4lb,2.59,Baking,downloaded_images/white_sugar.jpg
Salt,Fine sea salt package 1lb,1.29,Spices,downloaded_images/salt.jpg
Ground Coffee,Medium roast ground coffee 12oz,7.99,Beverages,downloaded_images/ground_coffee.jpg
Green Tea,Organic green tea bags pack,4.79,Beverages,downloaded_images/green_tea.jpg
Frozen Peas,Bag of frozen green peas 16oz,2.29,Frozen,downloaded_images/frozen_peas.jpg
Chicken Breast,Boneless skinless chicken breast 1lb,6.99,Meat,downloaded_images/chicken_breast.jpg
Ground Beef,85% lean ground beef 1lb,7.49,Meat,downloaded_images/ground_beef.jpg
Salmon Fillet,Fresh Atlantic salmon fillet 1lb,12.99,Seafood,downloaded_images/salmon_fillet.jpg
Shrimp,Peeled and deveined shrimp 1lb,14.99,Seafood,downloaded_images/shrimp.jpg
Cheddar Cheese,Sharp cheddar cheese block 8oz,5.49,Dairy,downloaded_images/cheddar_cheese.jpg
Mozzarella Cheese,Fresh mozzarella balls 8oz,6.29,Dairy,images/mozzarella.jpg
Cucumber,Fresh organic cucumber,1.19,Vegetables,downloaded_images/cucumber.jpg
Lettuce,Green leaf lettuce head,1.59,Vegetables,images/lettuce.jpg
