Шифра,Опис,Цена
2,ЧИПСИ РЕБРАСТ СОЛЕН 230 ГР,145.00
1,ЧИПСИ ЧИЛИ РЕБРАСТ 230ГР,150.00
4,ЧИПСИ СОЛЕН РЕБРАСТ 150ГР,80.00
5,ЧИПСИ СОЛЕН КЛАСИК 150ГР,105.00
6,ЧИПСИ ГРЧКА САЛАТА 140ГР,110.00
7,ЧИПСИ ЧИЛИ РЕБРАСТ 140ГР,110.00
8,ЧИПСИ СОЛЕН РЕБРАСТ 90ГР,55.00
10,ЧИПСИ РЕБРАСТ ЧИЛИ 80ГР,75.00
11,ЧИПСИ СТАПЧИЊА КЕЧАП 80ГР,75.00
17,ЧИПСИ ЈОГУРТ И БИЛКИ 125ГР,95.00
18,ЧИПСИ СОЛЕН КЛАСИК 40ГР,38.00
19,ЧИПСИ ЧИЛИ 40ГР,45.00
20,ЧИПСИ СТАПЧИЊА КЕЧАП 40ГР,60.00
21,ДОРИТОС ТАКОС 100ГР,95.00
22,ДОРИТОС НАЧО СИРЕЊЕ 100ГР,98.00
23,ДОРИТОС ЛУТА ПЧЕНКА 100ГР,95.00
24,ДОРИТОС СКАРА 100ГР,98.00
25,ДОРИТОС СЛАТКО ЧИЛИ 170Г,135.00
000029,КЛИПСИ МИКС 70 ГР,50.00
30,КЛИПСИ МИКС 160 ГР,90.00
31,КЛИПСИ МИКС БЛАГ 70ГР,48.00
32,КЛИПСИ МИКС БЛАГ 165ГР,88.00
34,КЛИПСИ ДИНИ КЕЧАП 30ГР,35.00
35,КЛИПСИ ФЛИПС КЕЧАП 40ГР,35.00
36,КЛИПСИ ХОТ ДОГ 40 ГР,35.00
37,КЛИПСИ ХОТ ДОГ 75ГР,48.00
40,ГУД КИКИРИКИ ПРЖЕНИ 100ГР,50.00
41,ГУД КИКИРИКИ ПЕЧЕНИ 100ГР,55.00
42,ГУД КИКИРИКИ ДИЕТ 100 ГР,50.00
43,ГУД КИКИРИКИ ПРЖЕНИ 200ГР,95.00
44,ГУД КИКИРИКИ ПЕЧЕНИ 200ГР,95.00
45,ГУД КИКИРИКИ ДИЕТ 200ГР,95.00
46,ГУД КИКИРИКИ ПРЖЕНИ 400 ГР,195.00
47,ГУД КИКИРИКИ ПРЖЕНИ 40 ГР,48.00
51,ПАРДОН СОЛЕНКИ 210ГР,95.00
52,ПАРДОН СОЛЕНКИ 40ГР,25.00
53,ПАРДОН КРЕКЕР СОЛЕН 75ГР,48.00
54,БУСТО ВАНИЛИЦИ 300ГР,90.00
000056,БУСТО КОЛАЧИ КОКОС 300 ГР,69.00
000059,БУСТО КРОАСАН КАКАО 70ГР,40.00
000063,ДР МИЛК НАМАЗ СИРЕТО 200ГР,68.00
000068,СОДА БИКАРБОНА 20ГР,7.00
000069,МАКС БИБЕР МЕЛЕН 10 ГР,8.00
000073,ВИТАМИНКА КЕЧАП БЛАГ 90ГР,19.00
000074,ВИТАМИНКА КЕЧАП ЛУТ 1КГ,145.00
000075,ВИТАМИНКА КЕЧАП БЛАГ 1КГ,159.00
000076,ВИТАМИНКА КЕЧАП БЛАГ 300ГР,65.00
000077,ВИТАМИНКА КЕЧАП ЛУТ 300ГР,60.00
000078,ВИТАМИНКА КЕЧАП 50ГР,20.00
000079,ВИТАНЕЗ 620ГР,180.00
000080,ВИТАНЕЗ 260ГР,80.00
000081,ВИТАНЕЗ КЕСА 47ГР,25.00
000082,ВИТАНЕЗ КЕСА 85ГР,23.00
000083,ВИТАМИНКА СЕНФ 45ГР,13.00
000085,ВИТАМИНКА СМОКИ 250ГР ГИГА,69.00
000086,ВИТАМИНКА СМОКИ 40ГР,35.00
000087,ВИТАМИНКА СМОКИ 85 ГР,70.00
000089,ВИТАМИНКА СМОКИ 150ГР,70.00
000092,ЧОКА МОКА 250ГР,95.00
000093,ЧОКО ЏАМБО 450ГР,140.00
000099,ТАЛИАНО СОС 270ГР,110.00
000100,РИСКО ОРИЗ 150ГР,50.00
000101,РИСКО ОРИЗ 75ГР,30.00
000104,ВИТАМИНКА ЛУНА 400ГР,115.00
000105,ВИТАМИНКА ЛУНА БЕЛ 400ГР,105.00
000107,ЛУНА КРЕМ 20ГР,10.00
000108,ЦЕВИТАНА ЛИМОН 200ГР,80.00
000109,ЦЕВИТАНА ПОРТОКАЛ 200ГР,82.00
000110,ВИТАМИНКА КАКАО 100ГР,55.00
000111,ФРУТИ ВИШНА 112 ГР,34.00
000112,ФРУТИ БАНАНА 112ГР,35.00
000114,ЧОКОЛАДЕН ПРЕЛИВ 950ГР,235.00
000115,СИРИУС ЛЕШНИК КРЕМ 25ГР,20.00
000116,СИРИУС КОКОС 25ГР,20.00
000117,ВИТАМИНКА ЧОКО КИДС 15ГР,10.00
000120,ВИТАМИНКА ПИРЕ 120ГР,43.00
000122,ДЕСПИНА ЧОКОЛАДО 157ГР,65.00
000123,ДЕСПИНА МАЛ ТИТОЛ 126ГР,45.00
000124,ДЕСПИНА СУВО ГРОЗЈЕ 126ГР,45.00
000129,ШАМПАЊ РОМЕР 0.75Л,230.00
000130,ШТОК 1 Л ИТАЛИЈАНСКИ,920.00
000131,ШТОК 100МЛ ИТАЛИЈАНСКИ 84,190.00
000132,АМАРЕТО РОЈАЛ 0.7Л,599.00
000133,"КОЊАК БАДЕЛ 0,5Л",600.00
000134,КОЊАК БАДЕЛ 1Л,780.00
000135,КОЊАК БАДЕЛ 100МЛ,190.00
000136,КОЊАК БАДЕЛ 700МЛ + 2 ЧАШИ,950.00
000138,ПЕЛИНКОВАЦ ГОРКИ 1Л БАДЕЛ,579.00
000139,ПЕЛИНКОВАЦ ГОРКИ ОРАНЖ 1Л,520.00
000140,РУМ БЕЛ КАЈО ГРАНДЕ 1Л,680.00
000142,ВИГОР ВОДКА 1Л,600.00
000143,ВИГОР ВОДКА 100МЛ,170.00
000144,"ЏИН САКС 0,7МЛ ЃУМБИР",780.00
000145,ЏИН САКС 0.7 ПИНК,780.00
000146,"ЏИН САКС 0,7МЛ",780.00
000147,БЕЈЛИС ЛИКЕР 700МЛ,1379.00
000148,ЈЕНИ РАКИЈА,1130.00
000151,КАПЕТАН МОРГАН ВАЈТ 700МЛ,875.00
000152,СМИРНОФ АЈС 275МЛ,170.00
000153,"СМИРНОФ НОРТ 0,700МЛ",950.00
000154,СМИРНОФ ВОДКА 50МЛ,120.00
000156,УЗО ТСАНТАЛИ 1Л,710.00
000157,ВИСКИ Џ & Б РАРЕ 1Л,1388.00
000160,ЈЕГЕРМАЈСТЕР ЛИКЕР 20МЛ,120.00
000161,ЈЕГЕРМАЈСТЕР 700 БИТЕР,1230.00
000162,МАЛИБУ 700,1120.00
